GeneID,TotalCount,Tissue
ENSG00000210082.2,952182971,Amygdala
ENSG00000198804.2,758282297,Amygdala
ENSG00000198886.2,502924459,Amygdala
ENSG00000198938.2,373859845,Amygdala
ENSG00000198712.1,298671503,Amygdala
ENSG00000198888.2,256554612,Amygdala
ENSG00000198763.3,252273208,Amygdala
ENSG00000198727.2,241153413,Amygdala
ENSG00000198899.2,240867389,Amygdala
ENSG00000211459.2,202700855,Amygdala
ENSG00000197971.16,124039943,Amygdala
ENSG00000198786.2,117101364,Amygdala
ENSG00000131095.14,78901047,Amygdala
ENSG00000198840.2,56363073,Amygdala
ENSG00000212907.2,45141542,Amygdala
ENSG00000120885.22,35097540,Amygdala
ENSG00000123560.14,34526479,Amygdala
ENSG00000198695.2,34125376,Amygdala
ENSG00000228253.1,30178958,Amygdala
ENSG00000110436.13,29266028,Amygdala
ENSG00000210082.2,1308291701,Hippocampus
ENSG00000198804.2,1074821691,Hippocampus
ENSG00000198886.2,797405080,Hippocampus
ENSG00000198938.2,543945796,Hippocampus
ENSG00000198712.1,475528192,Hippocampus
ENSG00000198763.3,382699519,Hippocampus
ENSG00000198727.2,375552108,Hippocampus
ENSG00000198888.2,368845363,Hippocampus
ENSG00000198899.2,367594301,Hippocampus
ENSG00000211459.2,255832654,Hippocampus
ENSG00000197971.16,244262270,Hippocampus
ENSG00000198786.2,179258458,Hippocampus
ENSG00000131095.14,131489546,Hippocampus
ENSG00000198840.2,84715993,Hippocampus
ENSG00000123560.14,84243645,Hippocampus
ENSG00000212907.2,74808089,Hippocampus
ENSG00000198695.2,50246233,Hippocampus
ENSG00000228253.1,45899428,Hippocampus
ENSG00000180354.16,45417677,Hippocampus
ENSG00000248527.1,40539401,Hippocampus